date, DJ close, DJ % change, Unemployment, Unemployment % change, civilian rate, civilian % change, bank borrowing, bank borrowing % change
Tue Jan 29 22:00:00 EST 1985,1292.619995,0.0,7.3,0.0,64.7,0.0,304880.0,0.0
Wed Jan 30 22:00:00 EST 1985,1293.912615,0.10000000038680684,7.3,0.0,64.7,0.0,307120.6,0.7349120965625743
Thu Jan 31 22:00:00 EST 1985,1295.206528,0.10000002975471221,7.3,0.0,64.7,0.0,307120.6,0.0
Fri Feb 01 22:00:00 EST 1985,1296.501734,0.09999995923430116,7.2,-1.3698630136986254,64.7,0.0,307120.6,0.0
Sat Feb 02 22:00:00 EST 1985,1297.7995326666667,0.10010003323811381,7.2,0.0,64.7,0.0,307120.6,0.0
Sun Feb 03 22:00:00 EST 1985,1299.0973313333334,0.09999993327167081,7.2,0.0,64.7,0.0,307120.6,0.0
Mon Feb 04 22:00:00 EST 1985,1300.39513,0.09990003330502739,7.2,0.0,64.7,0.0,307120.6,0.0
Tue Feb 05 22:00:00 EST 1985,1301.695525,0.09999999000303703,7.2,0.0,64.7,0.0,307120.6,0.0
Wed Feb 06 22:00:00 EST 1985,1302.997221,0.10000003649086775,7.2,0.0,64.7,0.0,303779.1,-1.0880090752622913
Thu Feb 07 22:00:00 EST 1985,1304.300218,0.09999998303910464,7.2,0.0,64.7,0.0,303779.1,0.0
Fri Feb 08 22:00:00 EST 1985,1305.604518,0.09999998328605753,7.2,0.0,64.7,0.0,303779.1,0.0
Sat Feb 09 22:00:00 EST 1985,1306.9114286666668,0.1001000416779104,7.2,0.0,64.7,0.0,303779.1,0.0
Sun Feb 10 22:00:00 EST 1985,1308.2183393333335,0.09999994169459622,7.2,0.0,64.7,0.0,303779.1,0.0
Mon Feb 11 22:00:00 EST 1985,1309.52525,0.09990004171111483,7.2,0.0,64.7,0.0,303779.1,0.0
Tue Feb 12 22:00:00 EST 1985,1310.834775,0.09999998090912118,7.2,0.0,64.7,0.0,303779.1,0.0
Wed Feb 13 22:00:00 EST 1985,1312.14561,0.10000001716463446,7.2,0.0,64.7,0.0,309743.3,1.9633345414480494
Thu Feb 14 22:00:00 EST 1985,1313.457756,0.10000002972230988,7.2,0.0,64.7,0.0,309743.3,0.0
Fri Feb 15 22:00:00 EST 1985,1314.771213,0.09999994244199897,7.2,0.0,64.7,0.0,309743.3,0.0
Sat Feb 16 22:00:00 EST 1985,1316.08795775,0.10015010497495568,7.2,0.0,64.7,0.0,309743.3,0.0
Sun Feb 17 22:00:00 EST 1985,1317.4047025,0.10004990489018081,7.2,0.0,64.7,0.0,309743.3,0.0
Mon Feb 18 22:00:00 EST 1985,1318.72144725,0.09994990510518524,7.2,0.0,64.7,0.0,309743.3,0.0
Tue Feb 19 22:00:00 EST 1985,1320.038192,0.09985010501997035,7.2,0.0,64.7,0.0,309743.3,0.0
Wed Feb 20 22:00:00 EST 1985,1321.35823,0.09999998545497144,7.2,0.0,64.7,0.0,307846.8,-0.6122812018855615
Thu Feb 21 22:00:00 EST 1985,1322.679588,0.09999998259366184,7.2,0.0,64.7,0.0,307846.8,0.0
Fri Feb 22 22:00:00 EST 1985,1324.002268,0.10000003114888859,7.2,0.0,64.7,0.0,307846.8,0.0
Sat Feb 23 22:00:00 EST 1985,1325.3275946666665,0.10010002993941772,7.2,0.0,64.7,0.0,307846.8,0.0
Sun Feb 24 22:00:00 EST 1985,1326.6529213333333,0.09999992997958593,7.2,0.0,64.7,0.0,307846.8,0.0
Mon Feb 25 22:00:00 EST 1985,1327.978248,0.09990003001949968,7.2,0.0,64.7,0.0,307846.8,0.0
