,Open,High,Low,Close,Adj Close,Volume
1/29/1985,7.3,1295.48999,1266.890015,1292.619995,1292.619995,13560000
1/30/1985,7.3,1305.099976,1278.930054,1302.056121,1287.880005,16820000
1/31/1985,7.3,1293.400024,1272.640015,1311.561131,1286.77002,14070000
2/1/1985,7.2,1286.109985,1269.77002,1321.135527,1277.719971,10980000
2/2/1985,7.2,1294.939941,1268.98999,1330.647703,1290.079956,11630000
2/3/1985,7.2,1301.130005,1278.599976,1340.228366,1285.22998,13800000
2/4/1985,7.2,1294.5,1275.069946,1349.87801,1280.589966,14610000
2/5/1985,7.2,1297.040039,1279.810059,1359.597132,1290.079956,11440000
2/6/1985,7.2,1297.150024,1281.359985,1369.386231,1289.969971,8000000
2/7/1985,7.2,1291.73999,1268.660034,1379.245812,1276.060059,12600000
2/8/1985,7.2,1283.130005,1266.339966,1389.176382,1276.609985,11870000
2/9/1985,7.2,1304.660034,1274.51001,1399.178452,1297.920044,14050000
2/10/1985,7.2,1307.530029,1283.680054,1409.252537,1287.880005,14020000
2/11/1985,7.2,1296.27002,1275.069946,1419.399155,1282.02002,8730000
2/12/1985,7.2,1287.430054,1273.52002,1429.618829,1280.589966,6690000
2/13/1985,7.2,1292.51001,1272.530029,1439.912085,1283.130005,10760000
2/14/1985,7.2,1287.099976,1272.640015,1450.279452,1279.040039,8600000
2/15/1985,7.2,1286.550049,1269.98999,1460.721464,1275.839966,8500000
2/16/1985,7.2,1283.130005,1263.910034,1471.238658,1277.5,8420000
2/17/1985,7.2,1293.180054,1272.310059,1481.831577,1286.109985,11910000
2/18/1985,7.2,1295.27002,1274.400024,1492.500764,1281.030029,11900000
2/19/1985,7.2,1288.319946,1271.420044,1503.246769,1284.01001,8790000
2/20/1985,7.2,1309.959961,1282.689941,1514.070146,1299.359985,14730000
2/21/1985,7.2,1304.550049,1283.130005,1524.971451,1289.530029,12010000
2/22/1985,7.2,1300.02002,1281.030029,1535.951246,1291.849976,10060000
2/23/1985,7.2,1296.930054,1275.51001,1547.010095,1280.369995,10990000
2/24/1985,7.2,1283.23999,1265.459961,1558.148567,1271.530029,9870000
2/25/1985,7.2,1280.810059,1264.130005,1569.367237,1269.660034,9120000
2/26/1985,7.2,1277.050049,1260.930054,1580.666681,1268.550049,7710000
2/27/1985,7.2,1279.47998,1262.47998,1592.047481,1271.75,8340000
2/28/1985,7.2,1278.27002,1257.619995,1603.510223,1261.699951,8840000
3/1/1985,7.2,1269.209961,1254.199951,1615.055497,1260.050049,7950000
3/2/1985,7.2,1266.890015,1245.140015,1626.683896,1247.349976,11280000
3/3/1985,7.2,1260.930054,1242.819946,1638.39602,1249.670044,8270000
3/4/1985,7.2,1274.180054,1245.689941,1650.192472,1271.089966,8990000
3/5/1985,7.2,1277.390015,1257.839966,1662.073858,1265.23999,10540000
3/6/1985,7.2,1278.930054,1257.619995,1674.040789,1268.219971,9630000
3/7/1985,7.2,1277.390015,1261.699951,1686.093883,1267.449951,7800000
3/8/1985,7.2,1268.329956,1252.869995,1698.233759,1259.939941,7930000
3/9/1985,7.2,1267.560059,1252.099976,1710.461042,1259.719971,9520000
